epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.38425,1.1133,4.40428,0.99268,0.00021,0.0303,0.00265,0.00095,0.63027,3.78166,0.85458,0.00012861,0.00012861,0.00012861
2,6.98626,0.71242,2.83894,0.83857,0.00567,0.53762,0.24463,0.19442,0.59203,3.49328,0.81337,0.000244631,0.000244631,0.000244631
3,9.48805,0.57549,1.88565,0.80973,0.00443,0.6092,0.35771,0.29943,0.64109,3.33686,0.78262,0.000332357,0.000332357,0.000332357
4,11.9704,0.50635,1.419,0.80994,0.00352,0.54023,0.34838,0.30584,0.51567,3.27569,0.78911,0.000391789,0.000391789,0.000391789
5,14.4618,0.46347,1.25477,0.80781,0.00446,0.68575,0.64068,0.60008,0.47636,3.01254,0.7872,0.000422927,0.000422927,0.000422927
6,16.9831,0.44656,1.11682,0.81004,0.99881,0.66143,0.78934,0.7257,0.47792,2.75424,0.79191,0.000425771,0.000425771,0.000425771
7,19.4423,0.44417,1.10808,0.8072,1,0.37719,0.84917,0.7708,0.44501,2.44527,0.78366,0.00040032,0.00040032,0.00040032
8,21.8701,0.40408,1.01852,0.80424,0.99763,0.61052,0.93794,0.82611,0.39156,1.98412,0.78025,0.000346575,0.000346575,0.000346575
9,24.3104,0.39018,0.96596,0.79908,0.99238,0.82351,0.95689,0.841,0.366,1.75395,0.77755,0.000264536,0.000264536,0.000264536
10,26.8187,0.36378,0.98525,0.78949,0.98266,0.88493,0.94825,0.85401,0.34311,1.41225,0.77624,0.000154203,0.000154203,0.000154203
